CODE CLIENT;MEDIA;JOUR;HORAIRE;REDUCTION
463674;SMS;Mercredi;Matin;Aucune
8739;SMS;Samedi;Matin;10%
658536;MAIL;Samedi;Matin;10%
466512;SMS;Mercredi;Midi;Aucune
603060;SMS;Samedi;Matin;10%
349650;SMS;Samedi;Matin;10%
650280;MAIL;Dimanche;Midi;10%
138264;MAIL;Vendredi;Midi;10%
389136;MAIL;Samedi;Midi;10 euros
407636;MAIL;Samedi;Matin;5 euros
373811;MAIL;Mercredi;Midi;10%
430645;SMS;Dimanche;Matin;Aucune
521649;MAIL;Dimanche;Midi;10%
515556;MAIL;Lundi;Midi;5 euros
628241;SMS;Mercredi;Midi;Aucune
372814;SMS;Mercredi;Midi;Aucune
428443;SMS;Mercredi;Midi;Aucune
440188;MAIL;Samedi;Matin;10%
382436;MAIL;Samedi;Matin;10%
527425;SMS;Mercredi;Midi;Aucune
629122;MAIL;Samedi;Matin;10%
44982;MAIL;Samedi;Matin;10%
551110;MAIL;Dimanche;Midi;10%
478757;CALL;Vendredi;Matin;10%
478395;MAIL;Samedi;Midi;10 euros
457097;MAIL;Samedi;Matin;5 euros
482166;SMS;Mercredi;Midi;Aucune
44387;SMS;Samedi;Matin;10%
652022;SMS;Mercredi;Midi;Aucune
482662;MAIL;Samedi;Matin;10%
338870;SMS;Mercredi;Midi;Aucune
486504;MAIL;Samedi;Matin;10%
444811;SMS;Mercredi;Midi;Aucune
405476;SMS;Mercredi;Midi;Aucune
29432;SMS;Mercredi;Matin;Aucune
168015;SMS;Mercredi;Matin;Aucune
111458;MAIL;Mercredi;Midi;Aucune
69079;MAIL;Samedi;Matin;10%
376027;MAIL;Samedi;Matin;10%
358489;MAIL;Samedi;Matin;10%
500049;MAIL;Samedi;Matin;10%
465091;MAIL;Samedi;Matin;10%
474875;MAIL;Samedi;Matin;10%
350439;MAIL;Samedi;Matin;10%
466541;SMS;Mercredi;Matin;Aucune
347985;CALL;Mercredi;Matin;Aucune
487774;MAIL;Samedi;Matin;10%
305543;MAIL;Samedi;Matin;10%
474422;MAIL;Samedi;Matin;10%
628097;SMS;Mercredi;Matin;Aucune
486246;SMS;Mercredi;Midi;Aucune
39289;MAIL;Samedi;Matin;10%
652015;MAIL;Samedi;Matin;10%
429350;MAIL;Samedi;Matin;10%
398617;MAIL;Samedi;Matin;10%
541199;SMS;Mercredi;Midi;Aucune
493208;CALL;Mercredi;Midi;Aucune
406453;MAIL;Samedi;Matin;10%
436444;MAIL;Samedi;Matin;10%
