PRENOM,SEXE,ANNEES,NOMBRE NAISSANCE
AARON,Homme,2020,2312
AARON,Homme,2019,2443
AARON,Homme,2018,2248
AARON,Homme,2017,2383
AARON,Homme,2016,2369
AARON,Homme,2015,2156
AARON,Homme,2014,2054
AARON,Homme,2013,1907
AARON,Homme,2012,1726
AARON,Homme,2011,1765
AARON,Homme,2010,1606
AARON,Homme,2009,1355
AARON,Homme,2008,1380
AARON,Homme,2007,910
AARON,Homme,2006,598
AARON,Homme,2005,439
AARON,Homme,2004,335
AARON,Homme,2003,137
AARON,Homme,2002,132
AARON,Homme,2001,136
AARON,Homme,2000,118
ABBY,Femme,2020,213
ABBY,Femme,2019,195
ABBY,Femme,2018,188
ABBY,Femme,2017,155
ABBY,Femme,2016,144
ABBY,Femme,2015,115
ABBY,Femme,2014,163
ABBY,Femme,2013,114
ABBY,Femme,2012,156
ABBY,Femme,2011,113
ABBY,Femme,2010,116
ABBY,Femme,2009,105
ABDALLAH,Homme,2020,183
ABDALLAH,Homme,2019,189
ABDALLAH,Homme,2018,237
ABDALLAH,Homme,2017,247
ABDALLAH,Homme,2016,258
ABDALLAH,Homme,2015,302
ABDALLAH,Homme,2014,265
ABDALLAH,Homme,2013,251
ABDALLAH,Homme,2012,203
ABDALLAH,Homme,2011,187
ABDALLAH,Homme,2010,184
ABDALLAH,Homme,2009,166
ABDALLAH,Homme,2008,168
ABDALLAH,Homme,2007,134
ABDALLAH,Homme,2006,134
ABDALLAH,Homme,2005,137
ABDALLAH,Homme,2004,107
ABDALLAH,Homme,2003,103
ABDEL,Homme,1981,102
ABDELKADER,Homme,2003,106
ABDELKADER,Homme,2002,102
ABDELKADER,Homme,1993,105
ABDELKADER,Homme,1992,109
ABDELKADER,Homme,1990,110
ABDELKADER,Homme,1989,109
ABDELKADER,Homme,1988,121
ABDELKADER,Homme,1987,169
ABDELKADER,Homme,1986,148
ABDELKADER,Homme,1985,211
ABDELKADER,Homme,1984,217
ABDELKADER,Homme,1983,262
ABDELKADER,Homme,1982,250
ABDELKADER,Homme,1981,260
ABDELKADER,Homme,1980,232
ABDELKADER,Homme,1979,250
ABDELKADER,Homme,1978,279
ABDELKADER,Homme,1977,233
ABDELKADER,Homme,1976,273
ABDELKADER,Homme,1975,301
ABDELKADER,Homme,1974,297
ABDELKADER,Homme,1973,298
ABDELKADER,Homme,1972,316
ABDELKADER,Homme,1971,343
ABDELKADER,Homme,1970,273
ABDELKADER,Homme,1969,278
ABDELKADER,Homme,1968,303
ABDELKADER,Homme,1967,291
ABDELKADER,Homme,1966,263
ABDELKADER,Homme,1965,226
ABDELKADER,Homme,1964,221
ABDELKADER,Homme,1963,189
ABDELKADER,Homme,1962,147
ABDELKADER,Homme,1961,130
ABDELKADER,Homme,1960,122
ABDOULAYE,Homme,2020,179
ABDOULAYE,Homme,2019,150
ABDOULAYE,Homme,2018,182
ABDOULAYE,Homme,2017,148
ABDOULAYE,Homme,2016,117
ABDOULAYE,Homme,2015,136
ABDOULAYE,Homme,2014,127
ABDOULAYE,Homme,2013,149
ABDOULAYE,Homme,2012,124
ABDOULAYE,Homme,2011,115
ABDOULAYE,Homme,2009,106
ABDOULAYE,Homme,2008,103
ABEL,Homme,2020,621
ABEL,Homme,2019,609
ABEL,Homme,2018,551
ABEL,Homme,2017,541
ABEL,Homme,2016,512
ABEL,Homme,2015,500
ABEL,Homme,2014,451
ABEL,Homme,2013,432
ABEL,Homme,2012,398
ABEL,Homme,2011,303
ABEL,Homme,2010,298
ABEL,Homme,2009,271
ABEL,Homme,2008,218
ABEL,Homme,2007,231
ABEL,Homme,2006,198
ABEL,Homme,2005,167
ABEL,Homme,2004,132
ABEL,Homme,2003,138
ABEL,Homme,2002,123
ABEL,Homme,2001,131
ABEL,Homme,2000,150
ABEL,Homme,1999,108
ABEL,Homme,1949,108
